Title,Price,Location,Size,Rooms,Yard
,,,,,
,,,,,
Spränggatan 23B,1395000.0,"Skurholmen, Luleå kommun",52.0,2.0,
Sandviksgatan 77 C,1795000.0,"Centrum, Luleå kommun",73.5,3.0,
Hällbruksgatan 2,1260000.0,"Örnäset, Luleå kommun",56.0,2.0,
Västra Varvsgatan 17 B,995000.0,"Centrum, Luleå kommun",27.0,1.0,
Skansgatan 25,3995000.0,"Bergnäset, Luleå kommun",142.0,4.0,277.0
Timmermansgatan 46,3295000.0,"Centrum, Luleå kommun",82.0,3.0,
Lingonstigen 11,850000.0,"Kallkällan, Luleå kommun",50.0,1.0,
Sandnäset 4,,"Luleå, Luleå kommun",,,2995.0
Trädgårdsgatan 38,2395000.0,"Centrum, Luleå kommun",80.6,3.0,
Lingonstigen 63,1595000.0,"Kallkällan, Luleå kommun",84.5,3.0,
Burströmsvägen 118,1295000.0,"Skurholmen, Luleå kommun",65.0,2.0,
Stationsgatan 63 A,1595000.0,"Centrum, Luleå kommun",43.0,2.0,
Stormvägen 185,2645000.0,"Björkskatan, Luleå kommun",103.0,4.0,138.0
Aspviksvägen 25,3690000.0,"Kallax, Luleå kommun",170.0,4.0,1728.0
Genvägen 27A,1295000.0,"Lövskatan, Luleå kommun",53.5,2.0,
Mjölkuddsvägen 5,1595000.0,"Mjölkudden, Luleå kommun",57.5,2.0,
Kungsgatan 6C,2795000.0,"Centrum, Luleå kommun",108.0,4.0,
Jaktviksvägen 192,3995000.0,"Kallax, Luleå kommun",90.0,2.0,2268.0
Radiomasten 157,3395000.0,"Mjölkudden, Luleå kommun",164.0,5.0,
Stenudden 3B,1485000.0,"Avan, Luleå kommun",58.0,2.0,2445.0
Sinksundsvägen 2 A,460000.0,"Sinksundet, Luleå kommun",30.0,1.0,368.0
Hålsundsvägen 315,795000.0,"Luleå, Luleå kommun",76.0,3.0,1706.0
Södra Prästholm 740,1995000.0,"Råneå, Luleå kommun",100.0,4.0,11000.0
Stationsgatan 11,3195000.0,"Centrum, Luleå kommun",95.0,3.0,
Krongårdsringen 6,995000.0,"Örnäset, Luleå kommun",54.400000000000006,2.0,
Lingonstigen 43,1695000.0,"Kallkällan, Luleå kommun",81.5,3.0,
Mjölkuddsvägen 255,1595000.0,"Mjölkudden, Luleå kommun",90.5,3.0,
Teknikergatan 5,995000.0,"Skurholmen, Luleå kommun",60.0,2.0,
Västra Varvsgatan 20B,1495000.0,"Varvet, Luleå kommun",52.0,2.0,
Munkebergsgatan  38,1495000.0,"Mjölkudden, Luleå kommun",78.0,3.0,
Muntervägen 15,2595000.0,"Alvik, Luleå kommun",175.0,4.0,1178.0
Liljevalchsgatan 23,2995000.0,"Notviken, Luleå kommun",131.0,4.0,517.0
Sörnäsudden 330,1395000.0,"Luleå, Luleå kommun",60.0,3.0,2018.0
Stationsgatan 63B,1495000.0,"Centrum, Luleå kommun",49.5,2.0,
Borestigen 7,1695000.0,"Luleå, Luleå kommun",120.0,6.0,720.0
Västra Varvsgatan 20A,1295000.0,"Centrum - Varvet, Luleå kommun",52.0,2.0,
Sjöfartsgatan 14A,995000.0,"Svartöstaden, Luleå kommun",88.0,3.0,
