Title,Price,Location,Size,Rooms,Yard,URL
Sörövägen 120,,"Brändön, Luleå kommun",,,2841.0,https://www.hemnet.se/bostad/fritidsboende-54m2-brandon-lulea-kommun-sorovagen-120-21350929
Stormyrvägen 3,3895000.0,"Lulsundet, Luleå kommun",195.0,4.0,1232.0,https://www.hemnet.se/bostad/villa-4rum-lulsundet-lulea-kommun-stormyrvagen-3-21384244
Fredsgatan 1C,4995000.0,"Gültzauudden, Luleå kommun",162.0,5.0,79.0,https://www.hemnet.se/bostad/villa-5rum-gultzauudden-lulea-kommun-fredsgatan-1c-21384184
Lingonstigen 47,1395000.0,"Kallkällan, Luleå kommun",67.0,2.0,,https://www.hemnet.se/bostad/lagenhet-2rum-kallkallan-lulea-kommun-lingonstigen-47-21383933
Sandviksgatan 27,1495000.0,"Centrum, Luleå kommun",55.5,2.0,,https://www.hemnet.se/bostad/lagenhet-2rum-centrum-lulea-kommun-sandviksgatan-27-21383853
Klintvägen 133B,1495000.0,"Klintbacken, Luleå kommun",63.0,2.0,,https://www.hemnet.se/bostad/lagenhet-2rum-klintbacken-lulea-kommun-klintvagen-133b-21383894
Östra Pilgatan 13,6500000.0,"Östermalm, Luleå kommun",329.0,8.0,806.0,https://www.hemnet.se/bostad/villa-8rum-ostermalm-lulea-kommun-ostra-pilgatan-13-18985217
Prinsvägen 1B,1095000.0,"Centrum Varvet, Luleå kommun",26.0,1.0,,https://www.hemnet.se/bostad/lagenhet-1rum-centrum-varvet-lulea-kommun-prinsvagen-1b-21369471
Karlsviksvägen 4A,2895000.0,"Karlsvik, Luleå kommun",134.7,4.0,,https://www.hemnet.se/bostad/lagenhet-4rum-karlsvik-lulea-kommun-karlsviksvagen-4a-21362509
Tallskogsgatan 21,5295000.0,"Hällbacken, Luleå kommun",160.4,6.0,1101.0,https://www.hemnet.se/bostad/villa-6rum-hallbacken-lulea-kommun-tallskogsgatan-21-21383638
Bredträsk byaväg 97,,"Klöverträsk, Luleå kommun",,,61000.0,https://www.hemnet.se/bostad/villa-3rum-klovertrask-lulea-kommun-bredtrask-byavag-97-21383424
Västra Varvsgatan 17B,1095000.0,"Centrum/Varvet, Luleå kommun",27.0,1.0,,https://www.hemnet.se/bostad/lagenhet-1rum-centrum-varvet-lulea-kommun-vastra-varvsgatan-17b-21383148
Köpmangatan 28,1545000.0,"Centrum, Luleå kommun",48.0,2.0,,https://www.hemnet.se/bostad/lagenhet-2rum-centrum-lulea-kommun-kopmangatan-28-21350672
Gesällvägen 1,895000.0,"Råneå, Luleå kommun",108.0,4.0,1034.0,https://www.hemnet.se/bostad/villa-4rum-ranea-lulea-kommun-gesallvagen-1-21383120
Olovsvägen 15,1695000.0,"Råneå, Luleå kommun",150.0,6.0,724.0,https://www.hemnet.se/bostad/villa-6rum-ranea-lulea-kommun-olovsvagen-15-21383119
Selet 58,800000.0,"Selet, Luleå kommun",50.0,2.0,1537.0,https://www.hemnet.se/bostad/fritidsboende-2rum-selet-lulea-kommun-selet-58-21380142
Västra Varvsgatan 16A,1750000.0,"Centrum Varvet, Luleå kommun",66.0,,,"https://www.hemnet.se/bostad/lagenhet-2,5rum-centrum-varvet-lulea-kommun-vastra-varvsgatan-16a-21382950"
Öströmsvägen 8,2895000.0,"Kallax, Luleå kommun",86.0,3.0,2931.0,https://www.hemnet.se/bostad/villa-3rum-kallax-lulea-kommun-ostromsvagen-8-21375272
Rödinggränd 5,1495000.0,"Hertsön, Luleå kommun",124.0,6.0,293.0,https://www.hemnet.se/bostad/radhus-6rum-hertson-lulea-kommun-rodinggrand-5-21380908
Småbåtsgatan 10C,4000000.0,"Centrum, Luleå kommun",94.0,3.0,,https://www.hemnet.se/bostad/lagenhet-3rum-centrum-lulea-kommun-smabatsgatan-10c-21380809
Sandviksgatan 36B,1295000.0,"Centrum, Luleå kommun",40.5,1.0,,https://www.hemnet.se/bostad/lagenhet-1rum-centrum-lulea-kommun-sandviksgatan-36b-21382088
